"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
0,0,46110761.65499995,9186100.0,21002876.703999817,71110761.66332802,50107884.959328204,46113638.36732872,0.05,0.00013698630136986303,0.0,0.12853850273512074,0.0,2234,169.91999999999592,2876.7040000000143
1,46110761.65499995,26520724.471999995,-20840.0,21012903.97112575,51513629.81224374,30500725.841117986,-19587104.583958007,0.05094717318255336,0.00013958129639055715,4.9268563377527075,-0.0009471731825533596,7094.6731263638985,4359,154.0799999999991,2932.5940000000437
2,26520724.471999995,20934314.55000001,-2689120.0,21027852.377024423,45920195.20887171,24892342.831847284,-5578486.197472837,0.13759130660649552,0.00037696248385341236,4.878272846735349,-0.08664413342394216,7024.712899298903,6455,156.95999999999998,7923.693000000133
3,20934314.55000001,17251580.359999985,503580.0,21041472.13567543,42230477.4537184,21189005.31804297,-3676097.9965022914,0.11515234174399301,0.0003154858677917617,4.8497567026620825,0.022438964862502502,6983.649651833399,8612,155.52000000000268,6636.109000000152
4,17251580.359999985,13046628.745999997,1646860.0,21051397.95743065,38018584.39819264,16967186.440761987,-4201967.233769111,0.05175206087597749,0.00014178646815336297,4.820492192379394,0.06340028086801552,6941.508757026328,10828,138.2400000000017,2984.3130000001775
5,13046628.745999997,12446119.984000009,-1386320.0,21064450.593199804,37411216.35785255,16346765.764652744,-594315.4045697283,0.107348648266925,0.00029410588566280825,4.763471368659712,-0.05559658739094751,6859.398770869984,12994,149.7600000000019,6193.237000000326
6,12446119.984000009,11798536.316000013,-497360.0,21078772.30080139,36756786.00270159,15678013.701900199,-640108.647548167,0.12948336394901033,0.0003547489423260557,4.754699030183728,-0.022134715682085332,6846.766603464568,15149,156.95999999999998,7474.941000000394
7,11798536.316000013,11330010.861000009,-1273890.0,21096081.620805304,36281429.36274638,15185347.741941076,-458047.31994999386,0.1813805935176784,0.0004969331329251463,4.743948615139497,-0.051897229568668074,6831.2860058008755,17271,168.47999999999848,10478.034000000649
8,11330010.861000009,9619584.951999994,-1681780.0,21114465.65373625,34564182.65506739,13449717.001331143,-1698862.6747475564,0.2,0.0005479452054794521,4.7367291201519155,-0.06425471803086633,6820.889933018758,19388,154.0799999999991,11563.143000000828
9,9619584.951999994,8900678.700000003,3870020.0,21126874.58539236,33838521.417200595,12711646.831808235,-713252.3062086366,0.0977069566735616,0.0002676902922563332,4.691132402249883,0.1022930433264384,6755.230659239831,21528,154.0799999999991,5653.701000000643
10,8900678.700000003,8556900.316999994,-668580.0,21140946.73170104,33488022.2334385,12347075.50173746,-336427.0374534074,0.12696567030345196,0.00034785115151630676,4.667334244371149,-0.029258713629890354,6720.961311894455,23698,158.40000000000316,7351.185000000675
11,8556900.316999994,6395863.047000005,4340510.0,21148824.802266885,31320280.682053965,10171455.87978708,-2159863.480818687,0.020259131307167597,5.5504469334705746e-05,4.65617817648907,0.10670653899628436,6704.896574144261,25873,125.28000000000345,1173.1739999997424
12,6395863.047000005,6814903.700999986,-3425130.0,21162159.07751195,31732792.89074518,10570633.81323323,425846.48393628467,0.11742313522637617,0.00032170721979829086,4.53377031199988,-0.09716400391920857,6528.6292492798275,28048,142.55999999999986,6805.646000000848
13,6814903.700999986,6753588.216,-420020.0,21176629.87258335,31664901.532044947,10488271.659461599,-53420.5636288384,0.13612746693216143,0.0003729519641977026,4.566749358024489,-0.018704331705785268,6576.119075555263,30210,149.7600000000019,7894.676000000913
14,6753588.216,6471662.284000004,-700250.0,21192873.916594766,31376401.228322893,10183527.311728127,-272256.2597106341,0.16661456443864847,0.0004564782587360232,4.5656902887988995,-0.030487097506487048,6574.594015870415,32357,151.19999999999933,9669.450000001842
15,6471662.284000004,6723788.585999981,-796040.0,21211040.23701558,31621977.332865357,10410937.095849779,263742.4249632759,0.2,0.0005479452054794521,4.548952378783363,-0.03430199211131033,6550.491425448042,34579,164.16000000000315,11615.829000001855
16,6723788.585999981,6157279.301999994,5086070.0,21222722.456954148,31048886.244565852,9826163.787611704,-561408.8683609385,0.08774082508044447,0.000240385822138204,4.571046490048918,0.11225917491955555,6582.306945670442,36759,155.52000000000268,5099.913000001369
17,6157279.301999994,6456310.728000006,-1102370.0,21237009.598627873,31341393.83852502,10104384.239897147,306794.7356328927,0.13347661722124593,0.00036568936224998884,4.530621999649946,-0.045735792140801465,6524.095679495922,38898,171.3599999999997,7763.046000001251
18,6456310.728000006,4728436.074999999,-1170860.0,21254139.86401504,29606957.136631373,8352817.272616334,-1717306.43650648,0.18157958592946705,0.0004974783176149782,4.557271800634601,-0.04810296870822112,6562.471392913826,41044,129.60000000000363,10567.794000002352
19,4728436.074999999,5963768.3630000055,1401030.0,21267789.185927235,30835975.78511153,9568186.599184297,1242667.9703923538,0.12593917757956918,0.0003450388426837512,4.3847145273402495,0.055640408349897856,6313.988919369959,43244,171.3599999999997,7335.333000001409
20,5963768.3630000055,6208087.979999999,846140.0,21279536.268130206,31073781.834796585,9794245.56666638,249553.13188802265,0.08979062221214884,0.00024600170469081875,4.5237188974451525,0.03614855536742034,6514.1552123210195,45492,184.31999999999388,5232.927000001782
21,6208087.979999999,5783620.067999999,3202430.0,21285841.98831287,30642763.828498732,9356921.840185862,-424712.2861151891,-0.0041903692907223206,-1.1480463810198139e-05,4.546925112551615,0.09398099150287116,6547.572162074326,47702,177.11999999999807,-241.85200000006319
22,5783620.067999999,5339927.322999994,-1752920.0,21295929.830808394,30192575.63284256,8896645.802034166,-440100.3531606477,0.061581918084380405,0.00016871758379282303,4.511196185717596,-0.06577228737510273,6496.122507433338,49768,169.91999999999592,3591.720000001313
23,5339927.322999994,4904753.824999995,1920170.0,21301872.082242962,29750965.55424972,8449093.472006757,-435667.82715827134,-0.008469958513925069,-2.3205365791575533e-05,4.468455146730108,0.07005187659830547,6434.575411291355,51931,159.83999999999887,-492.3239999997182
24,4904753.824999995,5930124.892999996,-5383320.0,21314394.768235814,30769975.167993333,9455580.39975752,1031532.2997364663,0.10553899362471407,0.00028914792773894265,4.4180743077886255,-0.11400895213863914,6362.02700321562,54097,200.16000000000383,6160.659000002063
25,5930124.892999996,5188758.7909999965,-50230.0,21327214.448950052,30022085.674509715,8694871.225559663,-735069.8127693804,0.10778829843942717,0.0002953104066833621,4.530645642804951,-0.002249304814713102,6524.12972563913,56339,178.55999999999608,6295.551000002145
26,5188758.7909999965,5236380.776999998,-2192980.0,21344394.11909404,30063288.564247347,8718894.445153307,58382.55988162197,0.18410409916726864,0.0005043947922390922,4.458011217403187,-0.07631580072784147,6419.53615306059,58493,185.75999999999786,10760.134000003824
27,5236380.776999998,5256505.045000001,-1168990.0,21362525.343492437,30076980.690969776,8714455.34747734,31823.351120825857,0.2,0.0005479452054794521,4.467066949705486,-0.047835617603225564,6432.5764075759,60644,191.52000000000314,11698.648000003712
