"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
0,0,2191748.991,29710448579.180992,21002876.691999555,27191749.01132921,6188872.319329657,2194625.703328767,0.05,0.00013698630136986303,0.0,0.14999325034619032,0.0,2191,23.563,2876.692000000054
1,2191748.991,2178294.416000001,262801530.39660645,21002398.430151556,27173060.987060174,6170662.556908619,-19166.286117034033,-0.09923665436609168,-0.00027188124483860736,3.6342889938632448,0.14923665436609168,5233.376151163073,4352,40.13900000000001,-5711.638000000159
2,2178294.416000001,2319971.135000004,-33684899.02929306,21010200.23112732,27309515.27376131,6299315.042633988,144256.0876768995,0.04481562031175333,0.00012278252140206393,3.626795123218376,-0.144052274677845,5222.5849774344615,6551,53.67699999999999,2579.2160000001695
3,2319971.135000004,2314970.3120000022,-48831628.83957672,21026512.25714618,27299182.807045557,6272670.549899377,5979.559303104412,0.19070845062158231,0.0005224889058125543,3.702595152864465,-0.14589283030982897,5331.7370201248295,8652,62.09800000000008,10980.289000000552
4,2314970.3120000022,2384816.4270000006,-25960942.07516861,21043368.774241265,27363696.7033254,6320327.929084133,81370.41337492596,0.2,0.0005479452054794521,3.702970206041926,-0.14228064752994643,5332.2770967003735,10854,72.069,11524.240000000635
5,2384816.4270000006,2392846.2229999984,-17960043.085617065,21060287.874022137,27366340.96364262,6306053.089620482,19563.360098093282,0.2,0.0005479452054794521,3.7400727658391255,-0.13885926719415875,5385.7047828083405,12965,79.83900000000014,11533.395000000806
6,2392846.2229999984,2355745.275999999,-36144028.931072235,21077226.076935302,27323844.653952982,6246618.57701768,-25558.106776471715,0.2,0.0005479452054794521,3.7468985526981062,-0.14444070973937018,5395.533915885273,15126,84.83399999999989,11542.669000000902
7,2355745.275999999,2377211.2460000026,-25702310.252292633,21094152.175163615,27339936.63545408,6245784.4602904655,33018.07972940989,0.2,0.0005479452054794521,3.732068910581664,-0.14218458211128934,5374.179231237596,17326,91.7770000000001,11551.91900000121
8,2377211.2460000026,2414432.361000002,4591695.929508209,21104813.43539888,27371764.5848059,6266951.149407018,42489.20958708087,0.09113250862723943,0.0002496781058280532,3.7454557221236353,0.10886749137276058,5393.456239858035,19507,98.2069999999999,5267.804000000867
9,2414432.361000002,2403481.6100000027,-27579253.249088287,21121802.042467818,27355392.478811193,6233590.436343376,616.5010742316954,0.2,0.0005479452054794521,3.765000050384145,-0.14270482152794284,5421.6000725531685,21660,103.59100000000005,11567.00700000156
10,2403481.6100000027,2462369.8430000003,-50366994.42211914,21138796.83626097,27408862.477246676,6270065.640985705,70464.79222863587,0.2,0.0005479452054794521,3.7628818034746105,-0.1459967455829385,5418.549797003439,23787,110.58900000000013,11576.244000001725
11,2462369.8430000003,2420471.787000003,346180.54971694946,21154946.88318506,27361502.541046776,6206555.657861717,-31209.889275810216,0.18450307751363387,0.0005054878835989969,3.7931582838741584,0.015496922486366142,5462.147928778788,25983,113.88600000000005,10687.899000001837
