"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
0,0,47112395.536,9186100.0,21002876.685999855,72112395.56232838,51109518.87632853,47115272.24832877,0.05,0.00013698630136986303,0.0,0.1220895614959995,0.0,2181,169.91999999999592,2876.686000000012
1,47112395.536,27532954.361999974,-20840.0,21010323.515212405,52528470.08237277,31518146.567160364,-19576478.650742635,0.05147343288465754,0.0001410231037935823,3.1141397313373846,-0.0014734328846575352,4484.361213125834,4313,154.0799999999991,2962.468000000052
2,27532954.361999974,21242763.659000017,-2689120.0,21022555.445478346,46233858.797761396,25211303.35228305,-6282379.35434543,0.1356734225530728,0.00037170800699472,3.069864768369465,-0.08419998966841526,4420.605266452029,6519,156.95999999999998,7811.325000000097
3,21242763.659000017,17400821.51600001,503580.0,21033079.328167908,42387539.01148263,21354459.683314726,-3835795.9035872556,0.10669066028687678,0.0002923031788681556,3.040099090900311,0.028982762266196015,4377.742690896448,8707,155.52000000000268,6146.140000000136
4,17400821.51600001,13268541.02700001,1646860.0,21039769.21121383,38250921.76533038,17211152.55411655,-4129927.3631058,0.04082682696781337,0.00011185432045976265,3.0117222553261263,0.06586383331906341,4336.8800476696215,10852,138.2400000000017,2353.00300000019
5,13268541.02700001,12675202.42900002,-1386320.0,21049823.62822958,37653317.21092765,16603493.58269807,-587550.1373863555,0.10039843109221934,0.0002750641947732037,2.9625340398541873,-0.05957160412440597,4266.04901739003,12995,149.7600000000019,5788.368000000323
6,12675202.42900002,11998089.939000005,-497360.0,21061522.216902394,36971950.72518885,15910428.508286458,-669667.8970658146,0.12906176429233354,0.00035359387477351656,2.954256718272534,-0.028663333200114192,4254.1296743124485,15088,156.95999999999998,7444.459000000322
7,11998089.939000005,11685228.734000009,-1273890.0,21076472.224510342,36654850.58926609,15578378.36475575,-302150.1283135023,0.18558754894132048,0.0005084590381953986,2.9437490345377504,-0.05652578464898695,4238.998609734361,17240,168.47999999999848,10711.009000000602
8,11685228.734000009,9871499.60600001,-1681780.0,21092256.47126804,34836888.2860205,13744631.814752463,-1802178.0564869735,0.2,0.0005479452054794521,2.9397824720020327,-0.06656383849357397,4233.286759682927,19390,154.0799999999991,11550.960000000838
9,9871499.60600001,9041079.810999997,3870020.0,21102380.859242607,34002292.745179184,12899911.885936577,-824471.1528649684,0.1029204528182728,0.0002819738433377337,2.899976373423107,0.0970795471817272,4175.9659777292745,21552,154.0799999999991,5948.422000000656
